Unnamed: 0,Unnamed: 0.1,number,point_2_x,point_2_y,point_l_x,point_l_y,speed
0,0,13001,1370.1220703125,366.16436767578125,1350.027587890625,367.7554626464844,37.2807426
1,1,13002,1373.787353515625,365.80279541015625,1353.966552734375,367.21759033203125,7.75295368152882
2,2,13003,1377.1099853515625,366.7080383300781,1357.6317138671875,367.9869689941406,10.241564364818176
3,3,13004,1380.1435546875,366.8531799316406,1360.3170166015625,368.43084716796875,13.183911277550662
4,4,13005,1383.0472412109375,366.9666442871094,1363.0391845703125,368.6650390625,15.972828302318351
5,5,13006,1386.096923828125,368.25482177734375,1365.938720703125,369.7765197753906,18.54073306350385
6,6,13007,1388.9271240234375,367.3463439941406,1369.41259765625,368.4665222167969,20.996336139343672
7,7,13008,1392.2620849609375,367.8977355957031,1372.7252197265625,368.9492492675781,23.300348777095746
8,8,13009,1395.880859375,368.1766357421875,1376.09521484375,369.45648193359375,25.425100619835696
9,9,13010,1399.59619140625,367.84246826171875,1379.53955078125,369.31182861328125,27.413535652536716
10,10,13011,1402.5413818359375,369.5254821777344,1382.7672119140625,370.5400695800781,29.204622720081392
11,11,13012,1405.6915283203125,369.7061462402344,1386.0899658203125,370.19049072265625,30.96542452306796
12,12,13013,1408.731689453125,370.3961181640625,1389.2398681640625,371.1278076171875,32.75465103446747
13,13,13014,1412.412109375,370.677490234375,1392.87646484375,371.5994567871094,34.34116475419086
14,14,13015,1415.8037109375,370.2759094238281,1396.0001220703125,371.3644714355469,35.86416376246639
15,15,13016,1418.5604248046875,371.4440002441406,1399.1197509765625,372.4406433105469,37.44339319517814
16,16,13017,1421.6864013671875,370.6139831542969,1401.8653564453125,371.6490478515625,38.841535218533906
17,17,13018,1424.6226806640625,371.22235107421875,1404.7001953125,372.2796936035156,40.13649082647055
18,18,13019,1428.01171875,371.7674560546875,1408.09326171875,373.0254211425781,41.4273871659699
19,19,13020,1430.9989013671875,371.4002685546875,1410.750732421875,373.00079345703125,42.68969861286227
20,20,13021,1434.5177001953125,372.7380065917969,1413.295166015625,374.46099853515625,43.882919534815976
21,21,13022,1437.013427734375,373.58355712890625,1416.7352294921875,374.5285949707031,44.903356750433865
22,22,13023,1439.9676513671875,374.3485107421875,1420.4036865234375,374.6948547363281,45.81773704204674
