Unnamed: 0,number,point_2_x,point_2_y,point_l_x,point_l_y,speed
0,7001,1525.9379999999999,342.47472999999997,1505.7518,343.99652000000015,93.620788960886
0,7002,1525.4938,341.4192,1504.9528,343.04004,93.62241952253844
0,7003,1524.8103,340.66025,1504.3042,342.17023,93.62383626561156
0,7004,1524.0610000000001,340.36514,1503.5387,341.6275,93.62543511983515
0,7005,1523.2732,338.54327,1502.9067,339.4334,93.62678066592524
0,7006,1522.6429999999998,337.30877999999996,1502.1789999999999,338.84533999999996,93.62817003554905
0,7007,1521.5571,335.5605,1501.5758,336.41077,93.62924439791719
0,7008,1520.5662,335.18817,1500.79,335.44982999999996,93.63073942387709
0,7009,1519.6495,332.84378,1499.7043,334.3087,93.63226046326237
0,7010,1518.652,331.6906,1498.9460000000001,332.3975,93.63395258698073
0,7011,1517.715,332.01044,1497.6785,332.85327,93.63515207367377
0,7012,1517.0929999999994,330.7792,1496.8406,331.9170200000001,93.63677963607931
0,7013,1515.8218,330.1492,1495.6329,331.92944,93.63853269335549
0,7014,1514.5256,328.79857999999996,1494.6312,330.5285,93.63964624762964
0,7015,1513.4109,329.61633,1493.2781,331.13347999999996,93.64135450394836
0,7016,1512.7532,327.48787999999996,1492.369,329.38122999999996,93.6428438604567
0,7017,1512.5778,327.1357700000001,1492.138,328.8609600000001,93.6428589473143
0,7018,1512.6666,326.57175,1492.1731,328.344,93.64363098282469
0,7019,1511.2233,325.13138,1491.2288,326.63083,93.6454267996361
0,7020,1510.2212,324.82263,1490.2423,326.27823,93.64493183717829
0,7021,1509.661,323.62823,1489.8245,324.86597,93.64680994523121
0,7022,1508.8131,324.12106,1489.2915,324.7743,93.64811720494049
0,7023,1508.0942,322.36118,1487.9481,323.89685,93.64949193790837
0,7024,1507.1675,322.61777,1487.4794,323.92188,93.65134417878649
0,7025,1506.3324,322.03455,1486.7404,323.526,93.65313541192415
0,7026,1504.4933,322.36328,1484.999,323.4234600000001,93.6550068502555
0,7027,1503.4634,322.9227,1484.025,323.90454,93.65666712278512
0,7028,1501.8020000000001,322.7444,1482.6984,323.5527600000001,93.65796402586771
0,7029,1500.2821,323.51552999999996,1481.4142,323.83496,93.65965408583992
0,7030,1498.9523,322.8526,1479.6005,323.7306200000001,93.66099557465893
0,7031,1497.7267,323.30972,1477.9978,324.7588,93.66262069944693
0,7032,1495.7953,322.52234,1475.5354,324.84472999999997,93.66400064361078
0,7033,1493.9271,323.34634,1473.4160000000006,326.34528,93.66569808326649
0,7034,1492.2183,323.1661,1472.3611,325.76592999999997,93.66757459008413
0,7035,1492.0239,323.51242,1471.9136,326.21587999999997,93.66903495274202
0,7036,1491.8768,323.81888,1471.421,327.0367700000001,93.6706437177142
0,7037,1491.0063,323.97208,1470.4937,326.97083,93.67228599660149
0,7038,1489.9026,326.20853,1469.8395,328.4549,93.67405827924343
0,7039,1488.3568,325.65622,1467.9583,328.4346,93.67350992001808
0,7040,1486.5367,327.94556,1465.8417,330.60803,93.67485042405457
0,7041,1485.3049,328.48217999999997,1464.9685,330.50836,93.67532353978388
0,7042,1483.6182,329.53854,1462.8439,331.98572,93.67627466339628
0,7043,1481.983,330.11212,1461.4037,332.3625,93.67800702010332
0,7044,1480.4778,330.70016,1459.8357,333.12955,93.67985768035143
0,7045,1477.9783,331.9948,1457.5555,334.19833,93.68111765879524
0,7046,1476.0646,332.212,1456.0647,334.49242999999996,93.68241144249998
0,7047,1474.2681,333.62667999999996,1454.8077,335.48672,93.68257504250866
0,7048,1471.2852,333.64542,1451.7025,335.40094,93.681152934166
