Unnamed: 0,Unnamed: 0.1,number,point_2_x,point_2_y,point_l_x,point_l_y,speed
0,0,12001,1150.4759521484375,379.7386474609375,1132.766357421875,381.3776550292969,37.2807426
1,1,12002,1147.2530517578125,379.3229675292969,1129.7373046875,380.8272399902344,7.75295368152882
2,2,12003,1143.918701171875,379.6206970214844,1126.3634033203125,381.12896728515625,10.241564364818176
3,3,12004,1140.5023193359375,380.0533142089844,1122.9495849609377,381.6381530761719,13.183911277550662
4,4,12005,1137.1796875,379.67816162109375,1119.61669921875,380.966796875,15.972828302318351
5,5,12006,1134.210693359375,380.41778564453125,1116.5836181640623,381.7535400390625,18.54073306350385
6,6,12007,1131.1964111328125,380.1371765136719,1113.4019775390623,382.0799560546875,20.996336139343672
7,7,12008,1127.8175048828125,380.0899658203125,1110.3843994140623,381.9184875488281,23.300348777095746
8,8,12009,1124.6649169921877,381.3797607421875,1106.900634765625,383.23486328125,25.425100619835696
9,9,12010,1121.6221923828123,380.3656311035156,1102.3778076171877,381.6343688964844,27.413535652536716
10,10,12011,1117.3350830078123,381.66400146484375,1099.93701171875,383.3844299316406,29.204622720081392
11,11,12012,1114.2110595703123,382.1875915527344,1096.7442626953123,383.8694152832031,30.96542452306796
12,12,12013,1111.13037109375,382.4981384277344,1093.457275390625,384.33929443359375,32.75465103446747
13,13,12014,1107.76611328125,382.6634216308594,1090.1104736328123,384.5624694824219,34.34116475419086
14,14,12015,1104.5257568359377,382.6102294921875,1086.779541015625,384.363525390625,35.86416376246639
15,15,12016,1101.53173828125,383.3153991699219,1084.022216796875,384.8746337890625,37.44339319517814
16,16,12017,1098.5560302734377,383.893798828125,1081.3756103515623,385.4497985839844,38.841535218533906
17,17,12018,1095.49072265625,383.81591796875,1077.8167724609377,385.7236328125,40.13649082647055
18,18,12019,1092.4085693359377,384.7410888671875,1074.72265625,386.8391418457031,41.4273871659699
19,19,12020,1089.43212890625,385.3887634277344,1071.9248046875,387.2529296875,42.68969861286227
20,20,12021,1086.6407470703123,385.3931884765625,1069.09033203125,387.0040893554688,43.882919534815976
21,21,12022,1083.5633544921877,386.5697021484375,1065.98974609375,388.3073120117188,44.903356750433865
22,22,12023,1080.4583740234377,386.6538391113281,1062.7894287109377,388.4653930664063,45.81773704204674
23,23,12024,1077.34375,386.85247802734375,1059.8271484375,388.5675659179688,46.76864700058052
24,24,12025,1074.0467529296877,388.3848571777344,1056.4376220703123,390.1999206542969,47.86714531259066
25,25,12026,1070.8211669921877,388.42510986328125,1052.9263916015623,390.8822021484375,48.79943077340904
26,26,12027,1067.9771728515623,389.2005615234375,1049.701171875,392.1324462890625,49.76777801801485
27,27,12028,1064.68310546875,391.0008544921875,1046.22802734375,394.3921508789063,50.52085194034356
28,28,12029,1061.6221923828123,389.3656311035156,1042.3778076171877,390.6343688964844,51.37480756591477
29,29,12030,1058.4969482421877,391.3793029785156,1040.5411376953123,394.4542236328125,52.26352453711504
30,30,12031,1055.7291259765623,393.3160705566406,1038.4161376953123,395.7005310058594,53.02499016471959
31,31,12032,1052.24462890625,392.5897216796875,1034.9664306640623,394.46624755859375,53.69976261348693
32,32,12033,1048.3408203125,394.18267822265625,1030.8931884765623,395.4610595703125,54.49290717017674
33,33,12034,1045.0755615234377,396.1278991699219,1027.9443359375,396.9961242675781,55.135114273200024
34,34,12035,1041.8475341796877,395.8382568359375,1024.8563232421877,396.4886779785156,55.81701841754289
35,35,12036,1038.552001953125,397.4922790527344,1021.4288940429688,398.1157531738281,56.44264580546479
36,36,12037,1035.697265625,398.2938232421875,1018.4083862304688,399.31298828125,57.11618234202282
37,37,12038,1033.13720703125,397.568603515625,1015.8693237304688,399.2281188964844,57.80695034261268
38,38,12039,1030.3065185546877,399.1184997558594,1012.6331787109376,401.4018249511719,58.47558644266021
39,39,12040,1027.1036376953123,399.4266052246094,1009.4215698242188,401.86865234375,59.048016075231885
40,40,12041,1023.7882690429688,399.9440002441406,1006.461669921875,401.8948974609375,59.63617280061066
41,41,12042,1020.5499877929688,401.8832702636719,1003.1856079101562,403.6286010742188,60.20177916324686
42,42,12043,1017.4345092773438,401.285888671875,1000.02783203125,403.143310546875,60.71214213192524
43,43,12044,1014.2575073242188,402.16259765625,996.71484375,404.1092224121094,61.30289551687749
44,44,12045,1011.09033203125,403.9559631347656,993.6984252929688,405.7805480957031,378.71881103515625
45,45,12046,1007.9359741210938,403.7629089355469,990.4883422851562,405.3311462402344,377.560791015625
46,46,12047,1005.0384521484376,405.3428955078125,987.7098999023438,406.7486877441406,375.1036376953125
47,47,12048,1002.4869384765624,406.1412963867188,985.0484008789062,407.89208984375,375.570068359375
48,48,12049,999.6809692382812,405.77911376953125,982.1657104492188,407.72698974609375,374.5851440429688
49,49,12050,996.4439086914062,407.7793273925781,979.18115234375,409.63287353515625,373.46368408203125
50,50,12051,993.3093872070312,408.1970520019531,975.8458862304688,409.8059387207031,372.2450866699219
51,51,12052,990.371337890625,408.0785217285156,973.13818359375,409.7565612792969,371.1687927246094
52,52,12053,987.550537109375,410.504638671875,970.1728515625,412.2681884765625,369.758544921875
53,53,12054,984.2922973632812,410.3200073242188,966.99169921875,412.0390625,368.44659423828125
54,54,12055,981.3060913085938,410.4544677734375,963.881103515625,412.0150146484375,367.5146179199219
55,55,12056,978.608154296875,412.682861328125,961.093017578125,414.2984924316406,366.6645202636719
56,56,12057,975.7266235351562,412.0145263671875,958.18701171875,413.57025146484375,365.5750732421875
57,57,12058,972.4071044921876,412.3498840332031,954.6721801757812,413.9828186035156,364.5719604492188
58,58,12059,969.214599609375,414.1019592285156,951.6474609375,415.6960144042969,363.52001953125
59,59,12060,966.0819702148438,413.508544921875,948.3896484375,415.1361083984375,362.1231384277344
60,60,12061,962.7996826171876,414.60333251953125,945.1412353515624,416.1906433105469,361.4284362792969
61,61,12062,959.367431640625,415.5129089355469,941.6974487304688,417.0649108886719,360.4659729003906
62,62,12063,955.9249877929688,414.7973327636719,937.9846801757812,416.51409912109375,358.82763671875
63,63,12064,952.2221069335938,416.06060791015625,934.5992431640624,417.686767578125,358.3573303222656
64,64,12065,948.8802490234376,416.01849365234375,930.0676879882812,417.8234558105469,357.3581848144531
65,65,12066,945.4892578125,415.3954772949219,927.1156005859376,417.135498046875,355.9433288574219
66,66,12067,941.9647216796876,416.6143798828125,924.4581298828124,418.272705078125,355.93292236328125
67,67,12068,939.6221923828124,413.3656311035156,920.3778076171876,414.6343688964844,355.4775695800781
68,68,12069,939.3680419921876,415.0610046386719,922.3006591796876,416.6917724609375,354.2470703125
69,69,12070,941.6221923828124,413.3656311035156,922.3778076171876,414.6343688964844,353.5699462890625
70,70,12071,944.6221923828124,412.3656311035156,925.3778076171876,413.6343688964844,352.6279296875
71,71,12072,948.8372192382812,414.63372802734375,931.74560546875,416.2363586425781,351.7756042480469
72,72,12073,952.0057983398438,415.2794494628906,935.0897216796876,416.8009643554688,351.73779296875
73,73,12074,954.6221923828124,412.3656311035156,935.3778076171876,413.6343688964844,350.8843078613281
74,74,12075,958.7648315429688,415.31048583984375,941.8020629882812,416.707763671875,350.57781982421875
75,75,12076,961.8668823242188,415.0805358886719,944.9869384765624,416.58538818359375,350.064208984375
76,76,12077,965.1917114257812,413.7949523925781,948.0680541992188,415.4969177246094,349.2826843261719
77,77,12078,967.6221923828124,412.3656311035156,948.3778076171876,413.6343688964844,348.99090576171875
78,78,12079,971.7310791015624,414.07061767578125,954.6099243164062,415.6794128417969,347.7659912109375
79,79,12080,975.1257934570312,413.54010009765625,957.9222412109376,415.1232299804688,347.7618103027344
80,80,12081,978.3253784179688,414.299560546875,961.3385620117188,415.9165344238281,347.7257080078125
81,81,12082,980.6221923828124,412.3656311035156,961.3778076171876,413.6343688964844,347.1694030761719
82,82,12083,984.6197509765624,413.53619384765625,967.5964965820312,415.32855224609375,344.7659912109375
83,83,12084,987.8937377929688,414.3841857910156,970.773193359375,416.0591735839844,346.19818115234375
84,84,12085,991.49169921875,413.4315490722656,974.2817993164062,415.2231750488281,346.08038330078125
85,85,12086,994.61328125,413.50958251953125,971.9197998046876,414.9368591308594,345.2338562011719
86,86,12087,997.26513671875,413.1890869140625,977.3778076171876,412.6343688964844,345.4425964355469
87,87,12088,1000.6221923828124,410.3656311035156,981.3778076171876,411.6343688964844,345.45562744140625
88,88,12089,1004.0531005859376,412.8219604492188,986.9756469726562,414.4239807128906,345.2156066894531
89,89,12090,1007.00146484375,412.5159606933594,989.9105834960938,413.960205078125,346.04766845703125
90,90,12091,1009.8943481445312,410.7451171875,993.0709228515624,412.3072204589844,346.374755859375
91,91,12092,1013.0733642578124,411.1974487304688,996.0947265625,413.0218200683594,346.1363220214844
92,92,12093,1016.298095703125,410.4696960449219,999.2471923828124,412.3512573242188,347.1352844238281
93,93,12094,1019.1729125976562,409.2528991699219,1002.0564575195312,411.1619873046875,347.4661865234375
94,94,12095,1021.9288330078124,409.3298645019531,1005.0508422851562,411.05755615234375,347.5415344238281
